symbol,search_date,headline,summary,source,url,published_at
AAPL,2025-10-16,AI boom delivers record net profit for Taiwan's TSMC,"Taiwanese tech titan TSMC reported Thursday a record net profit for the third quarter on skyrocketing demand for microchips used to power iPhones and artificial intelligence.TSMC said net profit for the three months to September soared 39.1 percent from a year ago to NT$452.3 billion (US$14.7 billion), a quarterly record.",Yahoo,https://finnhub.io/api/news?id=05f2fd5a517b8c0d1d22be39236989d5261a0d9358e48fa23827cc2563713815,2025-10-16 10:06:33
AAPL,2025-10-16,Taiwanese chipmaker TSMC sees nearly 40% jump in its net profit thanks to the AI boom,"Taiwan’s leading computer chip maker, TSMC, said Thursday that its net profit surged nearly 40% in the last quarter, boosted by the surge in use of artificial intelligence.  Taiwan Semiconductor Manufacturing Corp. is the world’s biggest semiconductor manufacturer.  It reported a net profit of a record 452.3 billion new Taiwan dollars ($15 billion) in the July-September quarter, higher than analysts’ forecasts.",Yahoo,https://finnhub.io/api/news?id=e496feb28c9f035a5acf6e38e064b291e365581abca313fb347c3174f95a26ea,2025-10-16 09:22:21
AAPL,2025-10-16,"TSMC Q3 profit jumps 39.1% to record, beats expectations","TSMC, the world's largest contract chipmaker, posted a 39.1% jump in third-quarter net profit on Thursday,",Yahoo,https://finnhub.io/api/news?id=8085e074ae42c2429ed2c1d74eb3c2b0f4724176792fe29c2b52ed8ffd5f6827,2025-10-16 08:40:27
AAPL,2025-10-16,The S&P 500’s Yield Is Weak. Consider These 3 Funds and 3 Stocks Instead.,Many investors have significant exposure to the S&P 500 index and its paltry yield. Here’s how to bulk up the income portion of your portfolio.,Yahoo,https://finnhub.io/api/news?id=251f526d6f4b2efaf1492b1c5fa2350406ce545fc2e578eac5fd522b4d006054,2025-10-16 08:30:00
AAPL,2025-10-16,TSMC ADR Premium Tops Two-Decade High as Global Buyers Pile In,"Its American depositary receipts are trading at the highest premium to its Taipei shares since 2002, on a 50-day moving average basis.  The ADRs have surged 54% this year, outpacing the 38% gain in the Taiwan listing, as global traders boost bullish bets.  “We are positive on TSMC’s outlook and expect it to raise its full-year 2025 sales growth outlook,” said Rex Chen, a Taipei-based fund manager at Capital Investment Trust Corp.",Yahoo,https://finnhub.io/api/news?id=32b4b72fe88e695ed8b216c0c622bc0bd1b5eec92fb60995fa45e867947a9625,2025-10-16 05:32:44
AAPL,2025-10-16,Apple CEO sends signal on crucial China moment,"In many ways, Apple’s (AAPL) 2025 story has been one of quiet resilience. Despite sluggish global smartphone demand, the world’s most valuable business was able to find new ways to bend the curve. Its success had everything to do with supply-chain recalibrations, a steady premium mix, along ...",Yahoo,https://finnhub.io/api/news?id=d78a84f269852743a2f15bb996d127e649138ca5c7ac30059578da9a553e8e07,2025-10-16 04:37:00
AAPL,2025-10-16,Trump hosts glitzy dinner for wealthy donors to new White House ballroom,"President Donald Trump on Wednesday welcomed nearly 130 deep-pocketed donors, allies and representatives of major companies for a dinner at the White House to reward them for their pledged contributions to a massive new ballroom.  The ballroom, whose price tag is now estimated at $250 million, is the most significant renovation that Trump, a former real estate mogul, is undertaking during his second term at the White House.  All four sides of the ballroom — which Trump said will be large and grand enough to hold even a presidential inauguration -- will be made of bulletproof glass, with its color, window shape and molding keeping in character with the White House.",Yahoo,https://finnhub.io/api/news?id=5524bd8d99fc308f77a6926a836e9b5dd73805784cfc88c3f3cdb4f63504b8d0,2025-10-16 04:34:17
AAPL,2025-10-16,Omdia: Mainland China’s Smartphone Market Declined 3% in 3Q25 as Vivo Regained Top Position Amid Intensifying Competition,"LONDON, October 16, 2025--According to Omdia’s latest research, mainland China’s smartphone market declined 3% year on year in 3Q25. The market remains in an adjustment phase, while competition among leading vendors has intensified, with shipment gaps between the top players continuing to narrow. vivo regained the top spot with shipments of 11.8 million units, accounting for an 18% market share. Huawei followed closely in second place with 10.5 million units and a 16% share. Apple maintained its",Yahoo,https://finnhub.io/api/news?id=77489e51aa8261fc6e9ed72d0a4f190666e8011039da0e4c54799151d6bbdb9d,2025-10-16 04:03:00
AAPL,2025-10-15,United sees demand 'strengthening' as profits edge lower,"United Airlines reported a slight dip in profits Wednesday as operating expenses ticked higher, adding that a strengthening demand outlook would boost fourth-quarter results.United is poised for a ""strong"" fourth quarter ""as the demand environment strengthens,"" said a United press release.",Yahoo,https://finnhub.io/api/news?id=eff3aac7834ed1d566dec9ca4a4f8a757c64c92554fe920c1f631e4db60cc04d,2025-10-16 00:31:12
AAPL,2025-10-15,Stock Market Today: Dow Dips After Exhausting Day; Advanced Micro Surges (Live Coverage),"Nvidia was also jerked around, while Advanced Micro Devices bolted higher on the stock market today.  The Dow ended the day slightly lower with a 17-point dip, after making big swings in the final hours of trading.  The S&P 500 clung to a gain in the final hour after messy afternoon action and finished 0.4% higher.",Yahoo,https://finnhub.io/api/news?id=8a3decc6d6049b620f02113aa049d7714c518abdf9d6c92e3449710c5c399e4a,2025-10-15 23:34:18
AAPL,2025-10-15,Sector Update: Tech Stocks Climb Late Afternoon,Tech stocks rose late Wednesday afternoon with the Technology Select Sector SPDR Fund (XLK) adding 0,Yahoo,https://finnhub.io/api/news?id=004ad51bf8cf8ebe859a6fdcfb1bb6c434a1bb4b196df797afa831d903c6cb0b,2025-10-15 22:49:11
AAPL,2025-10-15,Apple Updates Products Ahead of Holiday Season,"Apple has updated its top-of-the-line products including its iPad Pro, Vision Pro headset and 14-inch MacBook Pro. Bloomberg's Mark Gurman discusses the changes and the company's plans and promises to build in India and China. He joins Caroline Hyde on ""Bloomberg Tech.""",Yahoo,https://finnhub.io/api/news?id=6a96f96fadc1a3184dfd79284c33a1833906c011fbbc05976faf378102607f0d,2025-10-15 22:36:05
AAPL,2025-10-15,Apple Shifts Smart Home Production To Vietnam,"Apple and BYD team up together to assemble hub, robot, devices from 2025",Yahoo,https://finnhub.io/api/news?id=87769010e4b609b6c4863a0383fb8e9514b926d2afa17dc00a4439f2de599354,2025-10-15 22:24:14
AAPL,2025-10-15,"Apple Unveils New MacBook Pro, iPad Pro, and Vision Pro Powered by M5 Chip",Updated lineup aims to boost AI performance ahead of the holiday quarter,Yahoo,https://finnhub.io/api/news?id=c707066968d416bcf0ae2c102f2072b0f59c00e0cf4526826f5ad7fa1165854c,2025-10-15 22:20:58
AAPL,2025-10-15,Apple adds 650 megawatts of renewables in Europe with more coming in China,"Apple is adding renewable power to offset customer charging and support its operations, including third-party manufacturing in China.",Yahoo,https://finnhub.io/api/news?id=7beea307c6e4d5301a4cbb68684c97383490f7810ca6381ccc227ca29e3216c8,2025-10-15 22:19:23
AAPL,2025-10-15,TSMC Q3 Earnings Preview -- What To Expect From Upcoming Report,TSMC Set To Report Strong Q3 Results As AI Chip Boom Powers Growth,Yahoo,https://finnhub.io/api/news?id=f764833957b81ff132c23f3431c256c99562ec82a477892025ab0c17658047a3,2025-10-15 22:14:53
AAPL,2025-10-15,AAPL: Apple' iPhone 17 Supercycle Could Drive Biggest Earnings Rebound Since 2021,Apple Poised For Big FY26 Breakout As iPhone 17 Demand Surges Globally,Yahoo,https://finnhub.io/api/news?id=c7d9febc5ef432244ac671e854bba58b5950b0dfed22825e18911750a31be0ca,2025-10-15 22:12:29
AAPL,2025-10-15,Tim Cook's China Power Play: Apple Doubles Down as Trump's Tariff Threat Looms,Apple's CEO bets big on Beijing ties even as Washington pressures the tech giant to shift production abroad.,Yahoo,https://finnhub.io/api/news?id=d9b15e3627c733b96a0a6dd7e25ac2d1411eac1e7732e3a29c58bbac310bcde4,2025-10-15 21:49:29
AAPL,2025-10-14,Dow Jones Tech Titan Apple Eyes Latest Buy Point Amid Stock Market Volatility,"Dow Jones tech titan Apple stock, along with Hims & Hers Health and Zscaler, are in or near buy zones amid the stock market volatility.",Yahoo,https://finnhub.io/api/news?id=14404eedb4241495a7c0d80f893eda08985b95860fe952be35f72222e1743f6b,2025-10-14 21:57:08
AAPL,2025-10-14,TSMC Earnings: Here's What To Expect As AI Reaches A Fever Pitch,Discover why TSMC's strong earnings and AI leadership make it a top stock to watch now. Click for my updated look at TSM stock and my earnings preview.,SeekingAlpha,https://finnhub.io/api/news?id=707eb005df326e88f17985cc22717d8ecd183402ddfee86d1d272a965171d3f4,2025-10-14 21:35:49
