headline,summary,source,url,published_at
We’re in our 70s. How do we withdraw $6 million from our retirement fund without getting killed on taxes?,"“Some of the stocks pay dividends totaling around $90,000 annually.”",MarketWatch,https://www.marketwatch.com/story/were-in-our-70s-how-do-we-withdraw-6-million-from-our-retirement-fund-without-getting-killed-on-taxes-e0748c25,2025-10-16 12:30:00
"Taiwan Semiconductor tops earnings expectations, raises guidance again on AI boom.",TSMC’s ADRs have rallied more than 50% already in 2025 and raised guidance will reinforce trading sentiment.,MarketWatch,https://www.marketwatch.com/story/taiwan-semiconductor-tops-earnings-expectations-raises-guidance-again-on-ai-boom-6df838fc,2025-10-16 12:06:00
"Former L.A. home of Neil Patrick Harris, seen in Oprah interview, listed for $4 million",A southern California home once famously owned by Neil Patrick Harris and his husband David Burtka is on the market for $4 million.,MarketWatch,https://www.marketwatch.com/story/former-l-a-home-of-neil-patrick-harris-seen-in-oprah-interview-listed-for-4-million-aa33ed46,2025-10-16 11:57:00
This veteran strategist is poking holes on the hype surrounding stablecoins,"For all the hype around stablecoins, it’s tokenization that may revolutionize finance, says a veteran financial markets strategist.",MarketWatch,https://www.marketwatch.com/story/this-veteran-strategist-is-poking-holes-on-the-hype-surrounding-stablecoins-f6fbb1f1,2025-10-16 09:30:00
"This AI stock has soared 1,600% in three years — and Deutsche Bank predicts more gains",A Deutsche Bank analyst is upbeat about Vertiv’s stock and says the rush of new data-center deals suggests “the bull case may not even be bullish enough.”,MarketWatch,https://www.marketwatch.com/story/this-ai-stock-has-soared-1-600-in-three-years-and-deutsche-bank-predicts-more-gains-8a1728d2,2025-10-16 00:52:00
United Airlines expects premium flyers to fuel record revenue for the rest of the year,"United Airlines expects strong travel demand leading to record revenue in the holiday quarter, but the stock fell after third-quarter revenue missed expectations, again.",MarketWatch,https://www.marketwatch.com/story/united-airlines-expects-premium-flyers-to-fuel-record-revenue-for-the-rest-of-the-year-8d49bd27,2025-10-16 00:44:00
"Apple wants more sports rights, change how broadcasts are done, Eddy Cue says","""We don't have to do sports the way that they are. There's plenty of people doing that,"" Cue told CNBC's Alex Sherman at the Autosport Business Exchange NYC.",CNBC,https://www.cnbc.com/2025/10/15/apple-eddy-cue-f1-motorsport.html,2025-10-16 00:21:19
"You may feel stressed about money, but the big banks say you’re not acting like it","JPMorgan’s CFO says while there’s a lot of uncertainty and the economy has slowed, ‘the facts say’ consumers and the economy are just fine",MarketWatch,https://www.marketwatch.com/story/you-may-feel-stressed-about-money-but-the-big-banks-say-youre-not-acting-like-it-2d7df40b,2025-10-16 00:06:00
Trump says he might attend Supreme Court tariff case arguments,President Donald Trump said he may go to the Supreme Court to hear oral arguments in the major tariffs case.,CNBC,https://www.cnbc.com/2025/10/15/trump-supreme-court-tariffs-trade.html,2025-10-15 23:57:14
LeBron James on why he won’t take risks with his money: ‘I can’t start over. There’s no way.’,The Lakers star recently shared his financial fears — and the warning he gave to his financial adviser should he ever steal from him.,MarketWatch,https://www.marketwatch.com/story/lebron-james-on-why-he-wont-take-risks-with-his-money-i-cant-start-over-theres-no-way-dd6e1558,2025-10-15 22:38:00
This record number shows just how aggressively retail traders bought the dip on Friday,"Friday’s bruising stock-market selloff unleashed a flurry of options-trading activity, as individual investors scrambled to buy the dip by scooping up bullish call options.",MarketWatch,https://www.marketwatch.com/story/this-record-number-shows-just-how-aggressively-retail-traders-bought-the-dip-on-friday-f64c5f79,2025-10-15 22:34:00
"U.S. economy has lost momentum over the past 2 months, Fed’s beige book finds","Consumer spending inched down in recent weeks, the Federal Reserve’s survey found.",MarketWatch,https://www.marketwatch.com/story/u-s-economy-has-lost-momentum-over-the-past-2-months-feds-beige-book-finds-340db06d,2025-10-15 22:25:00
Weight-loss drugs shook up the stock market. Menopause treatments could be next.,Hims & Hers is taking aim at menopause and perimenopause in an attempt to tap in to a huge and potentially highly lucrative market.,MarketWatch,https://www.marketwatch.com/story/weight-loss-drugs-shook-up-the-stock-market-menopause-treatments-could-be-next-8bb87fd4,2025-10-15 22:17:00
Are online pharmacies cheaper than your local drugstore? How to decide what’s best for your healthcare — and your wallet.,"Insurance often determines where we get our prescriptions. As open-enrollment season approaches, here’s what to consider when shopping for a plan.",MarketWatch,https://www.marketwatch.com/story/are-online-pharmacies-cheaper-than-your-local-drugstore-how-to-decide-whats-best-for-your-healthcare-and-your-wallet-6d9e34b7,2025-10-15 22:16:00
Not every dip is a buying opportunity. Here’s how to think about future stock-market pullbacks.,"Dip buyers are being rewarded this week, as they frequently have over the past 15 years. But is this the right time to ride a three-year-old bull market?",MarketWatch,https://www.marketwatch.com/story/not-every-dip-is-a-buying-opportunity-heres-how-to-think-about-future-stock-market-pullbacks-f32331b9,2025-10-15 21:56:00
"Tariffs are pushing prices higher and consumers are feeling the hit, Fed's Beige Book shows","Companies are caught between absorbing the costs or passing them onto customers, according to a Federal Reserve report.",CNBC,https://www.cnbc.com/2025/10/15/tariffs-are-pushing-prices-higher-and-consumers-are-feeling-the-hit-feds-beige-book-shows.html,2025-10-15 21:40:50
Big banks like JPMorgan Chase and Goldman Sachs are already using AI to hire fewer people,"Even during a blockbuster year for Wall Street as trading and investment banking spins off billions of dollars in revenue, the banks are hiring fewer people.",CNBC,https://www.cnbc.com/2025/10/15/jpmorgan-chase-goldman-sachs-ai-hiring.html,2025-10-15 21:26:27
